0x1406D6FD0	EXE2j_btlev0e_btlev0e_pl_entry
0x1406D71B0	EXE2j_btlev0e_btlev0e_exit
0x14062FD80	EXE2j_btlev0f_BattleEvent0fMove
0x14062FE70	EXE2j_btlev0f_btlev0f_init
0x140630070	EXE2j_btlev0f_btlev0f_move
0x140630160	EXE2j_btlev0f_btlev0f_telop
0x140630320	EXE2j_btlev0f_btlev0f_pl_erase
0x1406305D0	EXE2j_btlev0f_btlev0f_pl_entry
0x1406307B0	EXE2j_btlev0f_btlev0f_exit
0x14054A8D0	EXE2j_btlev10_BattleEvent10Move
0x14054A9C0	EXE2j_btlev10_btlev10_init
0x14054ABC0	EXE2j_btlev10_btlev10_move
0x14054ACB0	EXE2j_btlev10_btlev10_telop
0x14054AE70	EXE2j_btlev10_btlev10_pl_erase
0x14054B120	EXE2j_btlev10_btlev10_pl_entry
0x14054B300	EXE2j_btlev10_btlev10_exit
0x14098F0A0	EXE2j_btlev11_BattleEvent11Move
0x14098F190	EXE2j_btlev11_event11_init
0x14098F3E0	EXE2j_btlev11_event11_move
0x14098F4D0	EXE2j_btlev11_event11_appear
0x14098F880	EXE2j_btlev11_event11_set
0x14098FB10	EXE2j_btlev11_event11_fade
0x14098FCE0	EXE2j_btlev11_event11_exit
0x1406D7C20	EXE2j_btlev12_BattleEvent12Move
0x1406D7D10	EXE2j_btlev12_event12_init
0x1406D7F60	EXE2j_btlev12_event12_move
0x1406D8050	EXE2j_btlev12_event12_vanish
0x1406D81A0	EXE2j_btlev12_event12_set
0x1406D84E0	EXE2j_btlev12_event12_wait
0x1406D8650	EXE2j_btlev12_event12_fade
0x1406D8820	EXE2j_btlev12_event12_exit
0x140597700	EXE2j_btlev13_BattleEvent13Move
0x1405977F0	EXE2j_btlev13_btlev13_init
0x140597A20	EXE2j_btlev13_btlev13_move
0x140597B10	EXE2j_btlev13_btlev13_telop
0x140597CD0	EXE2j_btlev13_btlev13_pl_erase
0x140598190	EXE2j_btlev13_btlev13_pl_entry
0x140598330	EXE2j_btlev13_btlev13_exit
0x140598520	EXE2j_btlev13_btlev13_syuriken_pos_set
0x140599100	EXE2j_btlev13_btlev13_syuriken_pos_set2
0x140599F40	EXE2j_btlev14_BattleEvent14Move
0x14059A030	EXE2j_btlev14_btlev14_init
0x14059A260	EXE2j_btlev14_btlev14_move
0x14059A350	EXE2j_btlev14_btlev14_telop
0x14059A510	EXE2j_btlev14_btlev14_pl_erase
0x14059A7F0	EXE2j_btlev14_btlev14_pl_entry
0x14059A990	EXE2j_btlev14_btlev14_exit
0x1404E2070	EXE2j_btlev15_BattleEvent15Move
0x1404E2160	EXE2j_btlev15_btlev15_init
0x1404E2390	EXE2j_btlev15_btlev15_move
0x1404E2480	EXE2j_btlev15_btlev15_telop
0x1404E2640	EXE2j_btlev15_btlev15_pl_erase
0x1404E2920	EXE2j_btlev15_btlev15_pl_entry
0x1404E2AC0	EXE2j_btlev15_btlev15_exit
0x1408B7EA0	EXE2j_btlev16_BattleEvent16Move
0x1408B7F90	EXE2j_btlev16_event16_init
0x1408B81D0	EXE2j_btlev16_event16_move
0x1408B82C0	EXE2j_btlev16_event16_telop
0x1408B84E0	EXE2j_btlev16_event16_efc
0x1408B8680	EXE2j_btlev16_event16_fade
0x1408B8850	EXE2j_btlev16_event16_exit
0x140862DC0	EXE2j_btlev17_BattleEvent17Move
0x140862EB0	EXE2j_btlev17_btlev17_init
0x1408630E0	EXE2j_btlev17_btlev17_move
0x1408631D0	EXE2j_btlev17_btlev17_telop
0x140863390	EXE2j_btlev17_btlev17_pl_erase
0x140863670	EXE2j_btlev17_btlev17_pl_entry
0x140863810	EXE2j_btlev17_btlev17_exit
0x1409BFCB0	EXE2j_btlev18_BattleEvent18Move
0x1409BFDA0	EXE2j_btlev18_event18_init
0x1409BFFE0	EXE2j_btlev18_event18_move
0x1409C00D0	EXE2j_btlev18_event18_telop
0x1409C0320	EXE2j_btlev18_event18_efc
0x1409C04C0	EXE2j_btlev18_event18_fade
0x1409C0690	EXE2j_btlev18_event18_exit
0x1406BA4D0	EXE2j_btlev19_BattleEvent19Move
0x1406BA5C0	EXE2j_btlev19_btlev19_init
0x1406BA7F0	EXE2j_btlev19_btlev19_move
0x1406BA8E0	EXE2j_btlev19_btlev19_telop
0x1406BAAA0	EXE2j_btlev19_btlev19_pl_erase
0x1406BAD80	EXE2j_btlev19_btlev19_pl_entry
0x1406BAF20	EXE2j_btlev19_btlev19_exit
0x14089CE30	EXE2j_btlev1a_BattleEvent1aMove
0x14089CF20	EXE2j_btlev1a_event1a_init
0x14089D160	EXE2j_btlev1a_event1a_move
0x14089D250	EXE2j_btlev1a_event1a_telop
0x14089D4A0	EXE2j_btlev1a_event1a_efc
0x14089D710	EXE2j_btlev1a_event1a_fade
0x14089D8E0	EXE2j_btlev1a_event1a_exit
0x1408DBC20	EXE2j_btlev1b_BattleEvent1bMove
0x1408DBD10	EXE2j_btlev1b_event1b_init
0x1408DBF50	EXE2j_btlev1b_event1b_move
0x1408DC040	EXE2j_btlev1b_event1b_telop
0x1408DC290	EXE2j_btlev1b_event1b_efc
0x1408DC500	EXE2j_btlev1b_event1b_fade
0x1408DC6D0	EXE2j_btlev1b_event1b_exit
0x14064FDA0	EXE2j_btlev1c_BattleEvent1cMove
0x14064FE90	EXE2j_btlev1c_btlev1c_init
0x1406500C0	EXE2j_btlev1c_btlev1c_move
0x1406501B0	EXE2j_btlev1c_btlev1c_telop
0x140650370	EXE2j_btlev1c_btlev1c_pl_erase
0x140650650	EXE2j_btlev1c_btlev1c_pl_entry
0x1406507F0	EXE2j_btlev1c_btlev1c_exit
0x1405C4EB0	EXE2j_btlev1d_BattleEvent1dMove
0x1405C4FA0	EXE2j_btlev1d_event1d_init
0x1405C51E0	EXE2j_btlev1d_event1d_move
0x1405C52D0	EXE2j_btlev1d_event1d_appear
0x1405C54E0	EXE2j_btlev1d_event1d_set
0x1405C57E0	EXE2j_btlev1d_event1d_fade
0x1405C59F0	EXE2j_btlev1d_event1d_exit
0x14092D3B0	EXE2j_btlev1e_BattleEvent1eMove
0x14092D4A0	EXE2j_btlev1e_btlev1e_init
0x14092D6D0	EXE2j_btlev1e_btlev1e_move
0x14092D7C0	EXE2j_btlev1e_btlev1e_telop
0x14092D980	EXE2j_btlev1e_btlev1e_pl_erase
0x14092DC60	EXE2j_btlev1e_btlev1e_pl_entry
0x14092DE00	EXE2j_btlev1e_btlev1e_exit
0x1405B7030	EXE2j_btlev1f_BattleEvent1fMove
0x1405B7120	EXE2j_btlev1f_btlev1f_init
0x1405B7350	EXE2j_btlev1f_btlev1f_move
0x1405B7440	EXE2j_btlev1f_btlev1f_telop
0x1405B7600	EXE2j_btlev1f_btlev1f_pl_erase
0x1405B78E0	EXE2j_btlev1f_btlev1f_pl_entry
0x1405B7A80	EXE2j_btlev1f_btlev1f_exit
0x1408C72E0	EXE2j_btlev20_BattleEvent20Move
0x1408C73D0	EXE2j_btlev20_btlev20_init
0x1408C7600	EXE2j_btlev20_btlev20_move
0x1408C76F0	EXE2j_btlev20_btlev20_telop
0x1408C7970	EXE2j_btlev20_btlev20_trap_set
0x1408C7C70	EXE2j_btlev20_btlev20_wait
0x1408C7E20	EXE2j_btlev20_btlev20_trap_pos_check
0x1408C8480	EXE2j_btlev20_btlev20_exit
0x140687500	EXE2j_btlev21_BattleEvent21Move
0x1406875F0	EXE2j_btlev21_btlev21_init
0x140687820	EXE2j_btlev21_btlev21_move
0x140687910	EXE2j_btlev21_btlev21_telop
0x140687AD0	EXE2j_btlev21_btlev21_pl_erase
0x140687DB0	EXE2j_btlev21_btlev21_pl_entry
0x140687F50	EXE2j_btlev21_btlev21_exit
0x140A35540	EXE2j_btlev22_BattleEvent22Move
0x140A35630	EXE2j_btlev22_btlev22_init
0x140A35860	EXE2j_btlev22_btlev22_move
0x140A35950	EXE2j_btlev22_btlev22_telop
0x140A35B10	EXE2j_btlev22_btlev22_pl_erase
0x140A35DF0	EXE2j_btlev22_btlev22_pl_entry
0x140A35F90	EXE2j_btlev22_btlev22_exit
0x1405F34C0	EXE2j_btlev23_BattleEvent23Move
0x1405F35B0	EXE2j_btlev23_event23_init
0x1405F37F0	EXE2j_btlev23_event23_move
0x1405F38E0	EXE2j_btlev23_event23_appear
0x1405F3AF0	EXE2j_btlev23_event23_set
0x1405F3DB0	EXE2j_btlev23_event23_fade
0x1405F3F80	EXE2j_btlev23_event23_exit
0x140AD1CF0	EXE2j_btlev24_BattleEvent24Move
0x140AD1DE0	EXE2j_btlev24_btlev24_init
0x140AD2010	EXE2j_btlev24_btlev24_move
0x140AD2100	EXE2j_btlev24_btlev24_telop
0x140AD22C0	EXE2j_btlev24_btlev24_pl_erase
0x140AD25A0	EXE2j_btlev24_btlev24_pl_entry
0x140AD2740	EXE2j_btlev24_btlev24_exit
0x1408F05C0	EXE2j_btlev25_BattleEvent25Move
0x1408F06B0	EXE2j_btlev25_event25_init
0x1408F08F0	EXE2j_btlev25_event25_move
0x1408F09E0	EXE2j_btlev25_event25_telop
0x1408F0C30	EXE2j_btlev25_event25_efc
0x1408F0EB0	EXE2j_btlev25_event25_fade
0x1408F1080	EXE2j_btlev25_event25_exit
0x140A7F6A0	EXE2j_btlev26_BattleEvent26Move
0x140A7F790	EXE2j_btlev26_event26_init
0x140A7F9D0	EXE2j_btlev26_event26_move
0x140A7FAC0	EXE2j_btlev26_event26_appear
0x140A7FC90	EXE2j_btlev26_event26_set
0x140A7FF10	EXE2j_btlev26_event26_fade
0x140A800E0	EXE2j_btlev26_event26_exit
0x140914880	EXE2j_btlev27_BattleEvent27Move
0x140914970	EXE2j_btlev27_event27_init
0x140914BB0	EXE2j_btlev27_event27_move
0x140914CA0	EXE2j_btlev27_event27_appear
0x140914F10	EXE2j_btlev27_event27_set
0x1409150E0	EXE2j_btlev27_event27_exit
0x140573A30	EXE2j_btlev28_BattleEvent28Move
0x140573B20	EXE2j_btlev28_event28_init
0x140573D80	EXE2j_btlev28_event28_move
0x140573E70	EXE2j_btlev28_event28_appear
0x140574040	EXE2j_btlev28_event28_set
0x1405742D0	EXE2j_btlev28_event28_fade
0x1405744A0	EXE2j_btlev28_event28_exit
0x140AD9160	EXE2j_btlev29_BattleEvent29Move
0x140AD9250	EXE2j_btlev29_event29_init
0x140AD9490	EXE2j_btlev29_event29_move
0x140AD9580	EXE2j_btlev29_event29_appear
0x140AD9750	EXE2j_btlev29_event29_set
0x140AD99B0	EXE2j_btlev29_event29_fade
