0x14124E3D0	EXE3w_btlev18_event18_fade
0x14124E5A0	EXE3w_btlev18_event18_exit
0x140DDF6F0	EXE3w_btlev19_BattleEvent19Move
0x140DDF7E0	EXE3w_btlev19_event19_init
0x140DDFA20	EXE3w_btlev19_event19_move
0x140DDFB10	EXE3w_btlev19_event19_telop
0x140DDFD60	EXE3w_btlev19_event19_efc
0x140DDFF00	EXE3w_btlev19_event19_fade
0x140DE00D0	EXE3w_btlev19_event19_exit
0x141099A20	EXE3w_btlev1a_BattleEvent1aMove
0x141099B10	EXE3w_btlev1a_btlev1a_init
0x141099E30	EXE3w_btlev1a_btlev1a_move
0x141099F20	EXE3w_btlev1a_btlev1a_check
0x14109A050	EXE3w_btlev1a_btlev1a_telop
0x14109A1F0	EXE3w_btlev1a_btlev1a_pl_erase
0x14109A4B0	EXE3w_btlev1a_btlev1a_pl_entry
0x14109A640	EXE3w_btlev1a_btlev1a_exit
0x1410F3190	EXE3w_btlev1b_BattleEvent1bMove
0x1410F3280	EXE3w_btlev1b_event1b_init
0x1410F34C0	EXE3w_btlev1b_event1b_move
0x1410F35B0	EXE3w_btlev1b_event1b_telop
0x1410F3800	EXE3w_btlev1b_event1b_efc
0x1410F3A70	EXE3w_btlev1b_event1b_fade
0x1410F3C40	EXE3w_btlev1b_event1b_exit
0x140D5B5D0	EXE3w_btlev1c_BattleEvent1cMove
0x140D5B6C0	EXE3w_btlev1c_event1c_init
0x140D5B900	EXE3w_btlev1c_event1c_move
0x140D5B9F0	EXE3w_btlev1c_event1c_appear
0x140D5BC60	EXE3w_btlev1c_event1c_set
0x140D5BE30	EXE3w_btlev1c_event1c_exit
0x140CBDCA0	EXE3w_btlev1d_BattleEvent1dMove
0x140CBDD90	EXE3w_btlev1d_btlev1d_init
0x140CBE0B0	EXE3w_btlev1d_btlev1d_move
0x140CBE1A0	EXE3w_btlev1d_btlev1d_check
0x140CBE2D0	EXE3w_btlev1d_btlev1d_telop
0x140CBE470	EXE3w_btlev1d_btlev1d_pl_erase
0x140CBE730	EXE3w_btlev1d_btlev1d_pl_entry
0x140CBE8C0	EXE3w_btlev1d_btlev1d_exit
0x1411701B0	EXE3w_btlev1e_BattleEvent1eMove
0x1411702A0	EXE3w_btlev1e_btlev1e_init
0x1411705C0	EXE3w_btlev1e_btlev1e_move
0x1411706B0	EXE3w_btlev1e_btlev1e_check
0x1411707E0	EXE3w_btlev1e_btlev1e_telop
0x141170980	EXE3w_btlev1e_btlev1e_pl_erase
0x141170C40	EXE3w_btlev1e_btlev1e_pl_entry
0x141170DD0	EXE3w_btlev1e_btlev1e_exit
0x140CABEA0	EXE3w_btlev1f_BattleEvent1fMove
0x140CABF90	EXE3w_btlev1f_btlev1f_move
0x140CAC080	EXE3w_btlev1f_btlev1f_pl_erase
0x1410DD470	EXE3w_btlev20_BattleEvent20Move
0x1410DD560	EXE3w_btlev20_event20_init
0x1410DD7F0	EXE3w_btlev20_event20_move
0x1410DD8E0	EXE3w_btlev20_event20_telop
0x1410DDAD0	EXE3w_btlev20_event20_efc
0x1410DDC90	EXE3w_btlev20_event20_fade
0x1410DDE60	EXE3w_btlev20_event20_exit
0x140D9A040	EXE3w_btlev21_BattleEvent21Move
0x140D9A130	EXE3w_btlev21_event21_init
0x140D9A390	EXE3w_btlev21_event21_move
0x140D9A480	EXE3w_btlev21_event21_appear
0x140D9A650	EXE3w_btlev21_event21_set
