0x14091B2A0	EXE2j_btlev0b_event0b_set
0x14091B4F0	EXE2j_btlev0b_event0b_fade
0x14091B6C0	EXE2j_btlev0b_event0b_exit
0x1408DC690	EXE2j_btlev0c_BattleEvent0cMove
0x1408DC780	EXE2j_btlev0c_event0c_init
0x1408DC9C0	EXE2j_btlev0c_event0c_move
0x1408DCAB0	EXE2j_btlev0c_event0c_set
0x1408DCCA0	EXE2j_btlev0c_event0c_fade
0x1408DCE70	EXE2j_btlev0c_event0c_exit
0x140A640E0	EXE2j_btlev0d_BattleEvent0dMove
0x140A641D0	EXE2j_btlev0d_btlev0d_init
0x140A643D0	EXE2j_btlev0d_btlev0d_move
0x140A644C0	EXE2j_btlev0d_btlev0d_telop
0x140A64680	EXE2j_btlev0d_btlev0d_pl_erase
0x140A64930	EXE2j_btlev0d_btlev0d_pl_entry
0x140A64B10	EXE2j_btlev0d_btlev0d_exit
0x1406D7BA0	EXE2j_btlev0e_BattleEvent0eMove
0x1406D7C90	EXE2j_btlev0e_btlev0e_init
0x1406D7E90	EXE2j_btlev0e_btlev0e_move
0x1406D7F80	EXE2j_btlev0e_btlev0e_telop
0x1406D8140	EXE2j_btlev0e_btlev0e_pl_erase
0x1406D83F0	EXE2j_btlev0e_btlev0e_pl_entry
0x1406D85D0	EXE2j_btlev0e_btlev0e_exit
0x1406311A0	EXE2j_btlev0f_BattleEvent0fMove
0x140631290	EXE2j_btlev0f_btlev0f_init
0x140631490	EXE2j_btlev0f_btlev0f_move
0x140631580	EXE2j_btlev0f_btlev0f_telop
0x140631740	EXE2j_btlev0f_btlev0f_pl_erase
0x1406319F0	EXE2j_btlev0f_btlev0f_pl_entry
0x140631BD0	EXE2j_btlev0f_btlev0f_exit
0x14054BCF0	EXE2j_btlev10_BattleEvent10Move
0x14054BDE0	EXE2j_btlev10_btlev10_init
0x14054BFE0	EXE2j_btlev10_btlev10_move
0x14054C0D0	EXE2j_btlev10_btlev10_telop
0x14054C290	EXE2j_btlev10_btlev10_pl_erase
0x14054C540	EXE2j_btlev10_btlev10_pl_entry
0x14054C720	EXE2j_btlev10_btlev10_exit
0x1409904C0	EXE2j_btlev11_BattleEvent11Move
0x1409905B0	EXE2j_btlev11_event11_init
0x140990800	EXE2j_btlev11_event11_move
0x1409908F0	EXE2j_btlev11_event11_appear
0x140990CA0	EXE2j_btlev11_event11_set
0x140990F30	EXE2j_btlev11_event11_fade
0x140991100	EXE2j_btlev11_event11_exit
0x1406D9040	EXE2j_btlev12_BattleEvent12Move
0x1406D9130	EXE2j_btlev12_event12_init
0x1406D9380	EXE2j_btlev12_event12_move
0x1406D9470	EXE2j_btlev12_event12_vanish
0x1406D95C0	EXE2j_btlev12_event12_set
0x1406D9900	EXE2j_btlev12_event12_wait
0x1406D9A70	EXE2j_btlev12_event12_fade
0x1406D9C40	EXE2j_btlev12_event12_exit
0x140598B20	EXE2j_btlev13_BattleEvent13Move
0x140598C10	EXE2j_btlev13_btlev13_init
0x140598E40	EXE2j_btlev13_btlev13_move
0x140598F30	EXE2j_btlev13_btlev13_telop
0x1405990F0	EXE2j_btlev13_btlev13_pl_erase
0x1405995B0	EXE2j_btlev13_btlev13_pl_entry
0x140599750	EXE2j_btlev13_btlev13_exit
0x140599940	EXE2j_btlev13_btlev13_syuriken_pos_set
0x14059A520	EXE2j_btlev13_btlev13_syuriken_pos_set2
0x14059B360	EXE2j_btlev14_BattleEvent14Move
0x14059B450	EXE2j_btlev14_btlev14_init
0x14059B680	EXE2j_btlev14_btlev14_move
0x14059B770	EXE2j_btlev14_btlev14_telop
0x14059B930	EXE2j_btlev14_btlev14_pl_erase
0x14059BC10	EXE2j_btlev14_btlev14_pl_entry
0x14059BDB0	EXE2j_btlev14_btlev14_exit
0x1404E3490	EXE2j_btlev15_BattleEvent15Move
0x1404E3580	EXE2j_btlev15_btlev15_init
0x1404E37B0	EXE2j_btlev15_btlev15_move
0x1404E38A0	EXE2j_btlev15_btlev15_telop
0x1404E3A60	EXE2j_btlev15_btlev15_pl_erase
0x1404E3D40	EXE2j_btlev15_btlev15_pl_entry
0x1404E3EE0	EXE2j_btlev15_btlev15_exit
0x1408B92C0	EXE2j_btlev16_BattleEvent16Move
0x1408B93B0	EXE2j_btlev16_event16_init
0x1408B95F0	EXE2j_btlev16_event16_move
0x1408B96E0	EXE2j_btlev16_event16_telop
0x1408B9900	EXE2j_btlev16_event16_efc
0x1408B9AA0	EXE2j_btlev16_event16_fade
0x1408B9C70	EXE2j_btlev16_event16_exit
0x1408641E0	EXE2j_btlev17_BattleEvent17Move
0x1408642D0	EXE2j_btlev17_btlev17_init
0x140864500	EXE2j_btlev17_btlev17_move
0x1408645F0	EXE2j_btlev17_btlev17_telop
0x1408647B0	EXE2j_btlev17_btlev17_pl_erase
0x140864A90	EXE2j_btlev17_btlev17_pl_entry
0x140864C30	EXE2j_btlev17_btlev17_exit
0x1409C10D0	EXE2j_btlev18_BattleEvent18Move
0x1409C11C0	EXE2j_btlev18_event18_init
0x1409C1400	EXE2j_btlev18_event18_move
0x1409C14F0	EXE2j_btlev18_event18_telop
0x1409C1740	EXE2j_btlev18_event18_efc
0x1409C18E0	EXE2j_btlev18_event18_fade
0x1409C1AB0	EXE2j_btlev18_event18_exit
0x1406BB8F0	EXE2j_btlev19_BattleEvent19Move
0x1406BB9E0	EXE2j_btlev19_btlev19_init
0x1406BBC10	EXE2j_btlev19_btlev19_move
0x1406BBD00	EXE2j_btlev19_btlev19_telop
0x1406BBEC0	EXE2j_btlev19_btlev19_pl_erase
0x1406BC1A0	EXE2j_btlev19_btlev19_pl_entry
0x1406BC340	EXE2j_btlev19_btlev19_exit
0x14089E250	EXE2j_btlev1a_BattleEvent1aMove
0x14089E340	EXE2j_btlev1a_event1a_init
0x14089E580	EXE2j_btlev1a_event1a_move
0x14089E670	EXE2j_btlev1a_event1a_telop
0x14089E8C0	EXE2j_btlev1a_event1a_efc
0x14089EB30	EXE2j_btlev1a_event1a_fade
0x14089ED00	EXE2j_btlev1a_event1a_exit
0x1408DD040	EXE2j_btlev1b_BattleEvent1bMove
0x1408DD130	EXE2j_btlev1b_event1b_init
0x1408DD370	EXE2j_btlev1b_event1b_move
0x1408DD460	EXE2j_btlev1b_event1b_telop
0x1408DD6B0	EXE2j_btlev1b_event1b_efc
0x1408DD920	EXE2j_btlev1b_event1b_fade
0x1408DDAF0	EXE2j_btlev1b_event1b_exit
0x1406511C0	EXE2j_btlev1c_BattleEvent1cMove
0x1406512B0	EXE2j_btlev1c_btlev1c_init
0x1406514E0	EXE2j_btlev1c_btlev1c_move
0x1406515D0	EXE2j_btlev1c_btlev1c_telop
0x140651790	EXE2j_btlev1c_btlev1c_pl_erase
0x140651A70	EXE2j_btlev1c_btlev1c_pl_entry
0x140651C10	EXE2j_btlev1c_btlev1c_exit
0x1405C62D0	EXE2j_btlev1d_BattleEvent1dMove
0x1405C63C0	EXE2j_btlev1d_event1d_init
0x1405C6600	EXE2j_btlev1d_event1d_move
0x1405C66F0	EXE2j_btlev1d_event1d_appear
0x1405C6900	EXE2j_btlev1d_event1d_set
0x1405C6C00	EXE2j_btlev1d_event1d_fade
0x1405C6E10	EXE2j_btlev1d_event1d_exit
0x14092E7D0	EXE2j_btlev1e_BattleEvent1eMove
0x14092E8C0	EXE2j_btlev1e_btlev1e_init
0x14092EAF0	EXE2j_btlev1e_btlev1e_move
0x14092EBE0	EXE2j_btlev1e_btlev1e_telop
0x14092EDA0	EXE2j_btlev1e_btlev1e_pl_erase
0x14092F080	EXE2j_btlev1e_btlev1e_pl_entry
0x14092F220	EXE2j_btlev1e_btlev1e_exit
0x1405B8450	EXE2j_btlev1f_BattleEvent1fMove
0x1405B8540	EXE2j_btlev1f_btlev1f_init
0x1405B8770	EXE2j_btlev1f_btlev1f_move
0x1405B8860	EXE2j_btlev1f_btlev1f_telop
0x1405B8A20	EXE2j_btlev1f_btlev1f_pl_erase
0x1405B8D00	EXE2j_btlev1f_btlev1f_pl_entry
0x1405B8EA0	EXE2j_btlev1f_btlev1f_exit
0x1408C8700	EXE2j_btlev20_BattleEvent20Move
0x1408C87F0	EXE2j_btlev20_btlev20_init
0x1408C8A20	EXE2j_btlev20_btlev20_move
0x1408C8B10	EXE2j_btlev20_btlev20_telop
0x1408C8D90	EXE2j_btlev20_btlev20_trap_set
0x1408C9090	EXE2j_btlev20_btlev20_wait
0x1408C9240	EXE2j_btlev20_btlev20_trap_pos_check
0x1408C98A0	EXE2j_btlev20_btlev20_exit
0x140688920	EXE2j_btlev21_BattleEvent21Move
0x140688A10	EXE2j_btlev21_btlev21_init
0x140688C40	EXE2j_btlev21_btlev21_move
0x140688D30	EXE2j_btlev21_btlev21_telop
0x140688EF0	EXE2j_btlev21_btlev21_pl_erase
0x1406891D0	EXE2j_btlev21_btlev21_pl_entry
0x140689370	EXE2j_btlev21_btlev21_exit
0x140A36960	EXE2j_btlev22_BattleEvent22Move
0x140A36A50	EXE2j_btlev22_btlev22_init
