0x140C2FEF0	EXE3w_btlev10_btlev10_telop
0x140C30140	EXE3w_btlev10_btlev10_sikake_set
0x140C302B0	EXE3w_btlev10_btlev10_exit
0x140C304F0	EXE3w_btlev10_btlev10_sikake_set_sub
0x140C308A0	EXE3w_btlev10_sikake_type00_set
0x141215B80	EXE3w_btlev11_BattleEvent11Move
0x141215C70	EXE3w_btlev11_btlev11_init
0x141215F90	EXE3w_btlev11_btlev11_move
0x141216080	EXE3w_btlev11_btlev11_check
0x1412161B0	EXE3w_btlev11_btlev11_telop
0x141216350	EXE3w_btlev11_btlev11_pl_erase
0x141216610	EXE3w_btlev11_btlev11_pl_entry
0x1412167A0	EXE3w_btlev11_btlev11_exit
0x140E10630	EXE3w_btlev12_BattleEvent12Move
0x140E10720	EXE3w_btlev12_event12_init
0x140E10980	EXE3w_btlev12_event12_move
0x140E10A70	EXE3w_btlev12_event12_appear
0x140E10E20	EXE3w_btlev12_event12_set
0x140E111C0	EXE3w_btlev12_event12_fade
0x140E11390	EXE3w_btlev12_event12_exit
0x140C7D5F0	EXE3w_btlev13_BattleEvent13Move
0x140C7D6E0	EXE3w_btlev13_event13_init
0x140C7D920	EXE3w_btlev13_event13_move
0x140C7DA10	EXE3w_btlev13_event13_appear
0x140C7DBE0	EXE3w_btlev13_event13_set
0x140C7DE30	EXE3w_btlev13_event13_fade
0x140C7E040	EXE3w_btlev13_event13_exit
0x140C80110	EXE3w_btlev14_BattleEvent14Move
0x140C80200	EXE3w_btlev14_btlev14_move
0x140C802F0	EXE3w_btlev14_btlev14_pl_erase
0x140BB21B0	EXE3w_btlev15_BattleEvent15Move
0x140BB22A0	EXE3w_btlev15_event15_init
0x140BB24E0	EXE3w_btlev15_event15_move
0x140BB25D0	EXE3w_btlev15_event15_telop
0x140BB27D0	EXE3w_btlev15_event15_efc
0x140BB29B0	EXE3w_btlev15_event15_fade
0x140BB2B80	EXE3w_btlev15_event15_exit
0x140BB2CE0	EXE3w_btlev15_event15_panel_blink
0x140BB35D0	EXE3w_btlev15_event15_punish_set
0x1410C70D0	EXE3w_btlev16_BattleEvent16Move
0x1410C7220	EXE3w_btlev16_event16_init
0x1410C7460	EXE3w_btlev16_event16_move_00
0x1410C7690	EXE3w_btlev16_event16_move_01
0x1410C79B0	EXE3w_btlev16_event16_move_02
0x1410C7B80	EXE3w_btlev16_event16_exit
0x1410588F0	EXE3w_btlev17_BattleEvent17Move
0x1410589E0	EXE3w_btlev17_btlev17_init
0x141058BF0	EXE3w_btlev17_btlev17_move
0x141058CE0	EXE3w_btlev17_btlev17_telop
0x141058EA0	EXE3w_btlev17_btlev17_pl_erase
0x141059180	EXE3w_btlev17_btlev17_pl_entry
0x141059310	EXE3w_btlev17_btlev17_exit
0x14124EE00	EXE3w_btlev18_BattleEvent18Move
0x14124EEF0	EXE3w_btlev18_event18_init
0x14124F190	EXE3w_btlev18_event18_move
0x14124F280	EXE3w_btlev18_event18_telop
0x14124F440	EXE3w_btlev18_event18_pl_off
0x14124F690	EXE3w_btlev18_event18_pl_on
0x14124F7F0	EXE3w_btlev18_event18_fade
0x14124F9C0	EXE3w_btlev18_event18_exit
0x140DE0B10	EXE3w_btlev19_BattleEvent19Move
0x140DE0C00	EXE3w_btlev19_event19_init
0x140DE0E40	EXE3w_btlev19_event19_move
0x140DE0F30	EXE3w_btlev19_event19_telop
0x140DE1180	EXE3w_btlev19_event19_efc
0x140DE1320	EXE3w_btlev19_event19_fade
0x140DE14F0	EXE3w_btlev19_event19_exit
0x14109AE40	EXE3w_btlev1a_BattleEvent1aMove
0x14109AF30	EXE3w_btlev1a_btlev1a_init
0x14109B250	EXE3w_btlev1a_btlev1a_move
0x14109B340	EXE3w_btlev1a_btlev1a_check
0x14109B470	EXE3w_btlev1a_btlev1a_telop
0x14109B610	EXE3w_btlev1a_btlev1a_pl_erase
0x14109B8D0	EXE3w_btlev1a_btlev1a_pl_entry
0x14109BA60	EXE3w_btlev1a_btlev1a_exit
