0x140687A80	EXE4r_btlev_sub_BattleEventInterruptEfcSet
0x140687D10	EXE4r_btlev_sub_EventChipCommonInit
0x140687E80	EXE4r_btlev_sub_EventChipCommonFade
0x1406880B0	EXE4r_btlev_sub_EventChipCommonTelop
0x140688690	EXE4r_btlev_sub_EventChipNaviTelop
0x140688CC0	EXE4r_btlev_sub_EventChipTrapTelop
0x1406892D0	EXE4r_btlev_sub_EventChipCommonEnd
0x140689500	EXE4r_btlev_sub_EventChipCommonExit
0x1406898B0	EXE4r_btlev_sub_EventChipCommonNaviScoot
0x1406899A0	EXE4r_btlev_sub_EventChipCommonNaviScoot_00
0x140689C20	EXE4r_btlev_sub_EventChipCommonNaviScoot_01
0x140689DE0	EXE4r_btlev_sub_EventChipCommonNaviScoot_02
0x14068A450	EXE4r_btlev_sub_BattleEventInterruptEnableCheck
0x14068A640	EXE4r_btlev_sub_BattleEventEntryFirst
0x14068A870	EXE4r_btlev_sub_BattleEventEntry
0x14068ABA0	EXE4r_btlev_sub_BattleEventWorkAdrsGet
0x14068AC50	EXE4r_btlev_sub_BattleEventWorkInit
0x1400E76B0	EXE4r_btlhit0_BattleHitInit
0x1400E7AB0	EXE4r_btlhit0_BattleHitOpen
0x1400E7E80	EXE4r_btlhit0_BattleHitClose
0x140509EF0	EXE4r_btlhit_sub_BattleHitWorkModefy
0x14050A2E0	EXE4r_btlhit_sub_BattleHitStaggerTypeSet
0x14050A350	EXE4r_btlhit_sub_BattleHitAttrChange
0x14050A3E0	EXE4r_btlhit_sub_BattleHitRegisterHitWorkAdrsBuff
0x14050B2F0	EXE4r_btlhit_sub_BattleHitDeleteHitWorkAdrsBuff
0x14050B7E0	EXE4r_btlhit_sub_BattleHitRegisterHitWorkAdrsBuffSub
0x14050B970	EXE4r_btlhit_sub_BattleHitDeleteHitWorkAdrsBuffSub
0x14050BB40	EXE4r_btlhit_sub_BattleHitHitWorkAdrsBuffInit
0x14050BC40	EXE4r_btlhit_sub_BattleHitDataSet
0x14050C020	EXE4r_btlhit_sub_BattleHitCheck
0x14050CE40	EXE4r_btlhit_sub_BattleHitCheckSub
0x14050D400	EXE4r_btlhit_sub_BattleHitCheckMain
0x14050D600	EXE4r_btlhit_sub_BattleHitDamageCheck
0x14050E240	EXE4r_btlhit_sub_BattleHitWeakRateCheck
0x14050E2F0	EXE4r_btlhit_sub_BattleHitCounterRateCheck
0x14050E5F0	EXE4r_btlhit_sub_BattleHitGroundDamageCalc
0x14050E890	EXE4r_btlhit_sub_BattleHitBarrierDamageCheck
0x14050EB80	EXE4r_btlhit_sub_BattleHitSet
0x14050EEC0	EXE4r_btlhit_sub_BattleHitBlockPosSet
0x14050F070	EXE4r_btlhit_sub_BattleHitBlockPosSet2
0x14050F1B0	EXE4r_btlhit_sub_BattleHitOff
0x14050F270	EXE4r_btlhit_sub_BattleHitOn
0x14050F2E0	EXE4r_btlhit_sub_BattleHitBarrierSet
0x14050F440	EXE4r_btlhit_sub_BattleHitBarrierReset
0x14050F550	EXE4r_btlhit_sub_BattleHitBarrierHitCheck
0x14050FDB0	EXE4r_btlhit_sub_BattleHitModeChange
0x14050FFA0	EXE4r_btlhit_sub_BattleHitModeAttrGet
0x1407A28F0	EXE4r_btlhit_sub1_BattleHitHitMarkCheck
0x1407A2BF0	EXE4r_btlhit_sub1_BattleHitHitMarkSet
0x1407A2C60	EXE4r_btlhit_sub1_BattleHitDefaultHitMarkSet
0x1407A2CE0	EXE4r_btlhit_sub1_BattleHitStatusFlagOn
0x1407A2D90	EXE4r_btlhit_sub1_BattleHitStatusFlagOff
0x1407A2E40	EXE4r_btlhit_sub1_BattleHitStatusFlagGet
0x1407A2EB0	EXE4r_btlhit_sub1_BattleHitReqFlagOn
0x1407A2F60	EXE4r_btlhit_sub1_BattleHitReqFlagOff
0x1407A3010	EXE4r_btlhit_sub1_BattleHitReqFlagGet
0x1407A3080	EXE4r_btlhit_sub1_BattleHitGroundDamageCheckNavi
0x1407A32D0	EXE4r_btlhit_sub1_BattleHitGroundDamageCheck
0x1407A3620	EXE4r_btlhit_sub1_BattleHitGroundCheck
0x1407A38F0	EXE4r_btlhit_sub1_BattleHitMagmaDamageCheck
0x1407A3DB0	EXE4r_btlhit_sub1_BattleHitMagmaDamageCheckNavi
0x1407A4460	EXE4r_btlhit_sub1_BattleHitKokoroCheck
0x1407A4640	EXE4r_btlhit_sub1_BattleHitAbnormalStatusSet
0x1407A46B0	EXE4r_btlhit_sub1_BattleHitAbnormalStatusReset
0x1407A47D0	EXE4r_btlhit_sub1_BattleHitPalsyReset
0x1407A48B0	EXE4r_btlhit_sub1_BattleHitBreakChipCheck
0x1407A49C0	EXE4r_btlhit_sub1_BattleHitBreakChipCheckNavi
0x1407A4BA0	EXE4r_btlhit_sub1_BattleHitRecoverCheck
0x1407A4D90	EXE4r_btlhit_sub1_BattleHitRecoverCheckNavi
0x1407A5130	EXE4r_btlhit_sub1_BattleHitHolyPanelCheckNavi
0x1407A53B0	EXE4r_btlhit_sub1_BattleHitDarkPanelCheckNavi
0x1407A5610	EXE4r_btlhit_sub1_BattleHitIceBlockCheck
0x1407A5980	EXE4r_btlhit_sub1_BattleHitCounterTimerCheck
0x1407A5A30	EXE4r_btlhit_sub1_BattleHitDoubleDamageHitMarkCheck
0x1407A5CE0	EXE4r_btlhit_sub1_BattleHitCounterHitMarkCheck
0x1407A6000	EXE4r_btlhit_sub1_BattleHitStatusChangeSet
0x14030D020	EXE4r_btlhit_sub2_AbnormalStatusHitCheck
0x14030D310	EXE4r_btlhit_sub2_AbnormalStatusHitCheck2
0x14030D580	EXE4r_btlhit_sub2_AbnormalStatusSet
0x14030D850	EXE4r_btlhit_sub2_AbnormalStatusEfcClear
0x14030D930	EXE4r_btlhit_sub2_BattleHitFixedInvCheck
0x14030DC00	EXE4r_btlhit_sub2_EnemyInvHitCheck
0x14030DD20	EXE4r_btlhit_sub2_EnemyInvReset
0x14030DDE0	EXE4r_btlhit_sub2_BattleHitDamageClear
0x14030E040	EXE4r_btlhit_sub2_BattleHitDamageClear2
0x1406C0560	EXE4r_btlinit_BattleInit
