0x140FDFBC0	EXE5p_bs03act_bs03_satellite_ray_set
0x140FDFDC0	EXE5p_bs03act_bs03_shift_wait_check
0x140FDFF00	EXE5p_bs03act_bs03_search_grenade_wait_check
0x140FDFFB0	EXE5p_bs03act_bs03_scope_gun_wait_check
0x140FE0060	EXE5p_bs03act_bs03_satellite_ray_wait_check
0x140FE0110	EXE5p_bs03act_bs03_set_str
0x140B8F7A0	EXE5p_bs03atk_Bs03AtkShift
0x140B8F8F0	EXE5p_bs03atk_bs03_shift_00
0x140B8FBA0	EXE5p_bs03atk_bs03_shift_01
0x140B8FD80	EXE5p_bs03atk_bs03_shift_02
0x140B8FFA0	EXE5p_bs03atk_Bs03AtkKougakuMeisai
0x140B900F0	EXE5p_bs03atk_bs03_kougaku_meisai_00
0x140B90200	EXE5p_bs03atk_bs03_kougaku_meisai_01
0x140B90450	EXE5p_bs03atk_bs03_kougaku_meisai_02
0x140B90690	EXE5p_bs03atk_Bs03AtkSearchGrenade
0x140B907E0	EXE5p_bs03atk_bs03_search_grenade_00
0x140B90910	EXE5p_bs03atk_bs03_search_grenade_01
0x140B90BE0	EXE5p_bs03atk_bs03_search_grenade_02
0x140B90DC0	EXE5p_bs03atk_bs03_search_grenade_03
0x140B91010	EXE5p_bs03atk_bs03_search_grenade_04
0x140B91250	EXE5p_bs03atk_bs03_search_grenade_05
0x140B91390	EXE5p_bs03atk_bs03_search_grenade_06
0x140B91710	EXE5p_bs03atk_bs03_search_grenade_07
0x140B91950	EXE5p_bs03atk_bs03_search_grenade_08
0x140B91B20	EXE5p_bs03atk_Bs03AtkScopeGun
0x140B91C70	EXE5p_bs03atk_bs03_scope_gun_00
0x140B91EB0	EXE5p_bs03atk_bs03_scope_gun_01
0x140B92090	EXE5p_bs03atk_bs03_scope_gun_02
0x140B92280	EXE5p_bs03atk_bs03_scope_gun_03
0x140B924A0	EXE5p_bs03atk_bs03_scope_gun_04
0x140B926B0	EXE5p_bs03atk_bs03_scope_gun_05
0x140B92A80	EXE5p_bs03atk_bs03_scope_gun_06
0x140B92E50	EXE5p_bs03atk_bs03_scope_gun_07
0x140B93010	EXE5p_bs03atk_Bs03AtkSatelliteRay
0x140B93160	EXE5p_bs03atk_bs03_satellite_ray_00
0x140B933E0	EXE5p_bs03atk_bs03_satellite_ray_01
0x140B935C0	EXE5p_bs03atk_bs03_satellite_ray_02
0x140B937B0	EXE5p_bs03atk_bs03_satellite_ray_03
0x140B939D0	EXE5p_bs03atk_bs03_satellite_ray_04
0x140B93B80	EXE5p_bs03atk_bs03_satellite_ray_05
0x140B93EF0	EXE5p_bs03atk_bs03_satellite_ray_06
0x140B942A0	EXE5p_bs03atk_bs03_satellite_ray_07
0x140B94490	EXE5p_bs03atk_Bs03ShiftPosCheck
0x140B94F50	EXE5p_bs03atk_Bs03SearchGrenadeShiftPosCheck
0x140B95710	EXE5p_bs03atk_Bs03SearchGrenadeShiftPosCheck2
0x140B95DB0	EXE5p_bs03atk_Bs03ScopeGunShiftPosCheck
0x140B963F0	EXE5p_bs03atk_Bs03SatelliteRayShiftPosCheck
0x140F0B5B0	EXE5p_bs04act_Bs04ActCheck
0x140F0B760	EXE5p_bs04act_bs04_algo_check_first
0x140F0B9C0	EXE5p_bs04act_bs04_algo_check_00
0x140F0BF30	EXE5p_bs04act_bs04_algo_check_01
