0x1410C7790	EXE3w_btlev16_event16_move_02
0x1410C7960	EXE3w_btlev16_event16_exit
0x1410586D0	EXE3w_btlev17_BattleEvent17Move
0x1410587C0	EXE3w_btlev17_btlev17_init
0x1410589D0	EXE3w_btlev17_btlev17_move
0x141058AC0	EXE3w_btlev17_btlev17_telop
0x141058C80	EXE3w_btlev17_btlev17_pl_erase
0x141058F60	EXE3w_btlev17_btlev17_pl_entry
0x1410590F0	EXE3w_btlev17_btlev17_exit
0x14124EBE0	EXE3w_btlev18_BattleEvent18Move
0x14124ECD0	EXE3w_btlev18_event18_init
0x14124EF70	EXE3w_btlev18_event18_move
0x14124F060	EXE3w_btlev18_event18_telop
0x14124F220	EXE3w_btlev18_event18_pl_off
0x14124F470	EXE3w_btlev18_event18_pl_on
0x14124F5D0	EXE3w_btlev18_event18_fade
0x14124F7A0	EXE3w_btlev18_event18_exit
0x140DE0900	EXE3w_btlev19_BattleEvent19Move
0x140DE09F0	EXE3w_btlev19_event19_init
0x140DE0C30	EXE3w_btlev19_event19_move
0x140DE0D20	EXE3w_btlev19_event19_telop
0x140DE0F70	EXE3w_btlev19_event19_efc
0x140DE1110	EXE3w_btlev19_event19_fade
0x140DE12E0	EXE3w_btlev19_event19_exit
0x14109AC20	EXE3w_btlev1a_BattleEvent1aMove
0x14109AD10	EXE3w_btlev1a_btlev1a_init
0x14109B030	EXE3w_btlev1a_btlev1a_move
0x14109B120	EXE3w_btlev1a_btlev1a_check
0x14109B250	EXE3w_btlev1a_btlev1a_telop
0x14109B3F0	EXE3w_btlev1a_btlev1a_pl_erase
0x14109B6B0	EXE3w_btlev1a_btlev1a_pl_entry
0x14109B840	EXE3w_btlev1a_btlev1a_exit
0x1410F4390	EXE3w_btlev1b_BattleEvent1bMove
0x1410F4480	EXE3w_btlev1b_event1b_init
0x1410F46C0	EXE3w_btlev1b_event1b_move
0x1410F47B0	EXE3w_btlev1b_event1b_telop
0x1410F4A00	EXE3w_btlev1b_event1b_efc
0x1410F4C70	EXE3w_btlev1b_event1b_fade
0x1410F4E40	EXE3w_btlev1b_event1b_exit
0x140D5C7E0	EXE3w_btlev1c_BattleEvent1cMove
0x140D5C8D0	EXE3w_btlev1c_event1c_init
0x140D5CB10	EXE3w_btlev1c_event1c_move
0x140D5CC00	EXE3w_btlev1c_event1c_appear
0x140D5CE70	EXE3w_btlev1c_event1c_set
0x140D5D040	EXE3w_btlev1c_event1c_exit
0x140CBEEB0	EXE3w_btlev1d_BattleEvent1dMove
0x140CBEFA0	EXE3w_btlev1d_btlev1d_init
0x140CBF2C0	EXE3w_btlev1d_btlev1d_move
0x140CBF3B0	EXE3w_btlev1d_btlev1d_check
0x140CBF4E0	EXE3w_btlev1d_btlev1d_telop
0x140CBF680	EXE3w_btlev1d_btlev1d_pl_erase
0x140CBF940	EXE3w_btlev1d_btlev1d_pl_entry
0x140CBFAD0	EXE3w_btlev1d_btlev1d_exit
0x1411713B0	EXE3w_btlev1e_BattleEvent1eMove
0x1411714A0	EXE3w_btlev1e_btlev1e_init
0x1411717C0	EXE3w_btlev1e_btlev1e_move
0x1411718B0	EXE3w_btlev1e_btlev1e_check
0x1411719E0	EXE3w_btlev1e_btlev1e_telop
0x141171B80	EXE3w_btlev1e_btlev1e_pl_erase
0x141171E40	EXE3w_btlev1e_btlev1e_pl_entry
0x141171FD0	EXE3w_btlev1e_btlev1e_exit
0x140CAD0B0	EXE3w_btlev1f_BattleEvent1fMove
0x140CAD1A0	EXE3w_btlev1f_btlev1f_move
0x140CAD290	EXE3w_btlev1f_btlev1f_pl_erase
0x1410DE670	EXE3w_btlev20_BattleEvent20Move
0x1410DE760	EXE3w_btlev20_event20_init
0x1410DE9F0	EXE3w_btlev20_event20_move
0x1410DEAE0	EXE3w_btlev20_event20_telop
0x1410DECD0	EXE3w_btlev20_event20_efc
0x1410DEE90	EXE3w_btlev20_event20_fade
0x1410DF060	EXE3w_btlev20_event20_exit
0x140D9B250	EXE3w_btlev21_BattleEvent21Move
0x140D9B340	EXE3w_btlev21_event21_init
0x140D9B5A0	EXE3w_btlev21_event21_move
0x140D9B690	EXE3w_btlev21_event21_appear
0x140D9B860	EXE3w_btlev21_event21_set
0x140D9BAF0	EXE3w_btlev21_event21_fade
0x140D9BCC0	EXE3w_btlev21_event21_exit
0x1412EF830	EXE3w_btlev22_BattleEvent22Move
0x1412EF920	EXE3w_btlev22_event22_init
0x1412EFB90	EXE3w_btlev22_event22_move
0x1412EFC80	EXE3w_btlev22_event22_telop
0x1412EFDD0	EXE3w_btlev22_event22_pl_off
0x1412EFFB0	EXE3w_btlev22_event22_efc
0x1412F0320	EXE3w_btlev22_event22_pl_on
0x1412F04A0	EXE3w_btlev22_event22_fade
0x1412F0670	EXE3w_btlev22_event22_exit
0x140CFBAC0	EXE3w_btlev23_BattleEvent23Move
0x140CFBBB0	EXE3w_btlev23_event23_init
0x140CFBE20	EXE3w_btlev23_event23_move
0x140CFBF10	EXE3w_btlev23_event23_telop
0x140CFC060	EXE3w_btlev23_event23_pl_off
0x140CFC240	EXE3w_btlev23_event23_efc
0x140CFC5B0	EXE3w_btlev23_event23_pl_on
0x140CFC730	EXE3w_btlev23_event23_fade
0x140CFC900	EXE3w_btlev23_event23_exit
0x1413F1EB0	EXE3w_btlev24_BattleEvent24Move
0x1413F1FA0	EXE3w_btlev24_event24_init
0x1413F21E0	EXE3w_btlev24_event24_move
0x1413F22D0	EXE3w_btlev24_event24_telop
0x1413F24B0	EXE3w_btlev24_event24_efc
0x1413F26B0	EXE3w_btlev24_event24_fade
0x1413F2880	EXE3w_btlev24_event24_exit
0x1413F29E0	EXE3w_btlev24_event24_chip_cnt
0x1413F2DB0	EXE3w_btlev24_event24_jealousy_set
0x14110EB70	EXE3w_btlev25_BattleEvent25Move
0x14110EC60	EXE3w_btlev25_event25_init
0x14110EEA0	EXE3w_btlev25_event25_move
0x14110EF90	EXE3w_btlev25_event25_telop
0x14110F150	EXE3w_btlev25_event25_efc
0x14110F330	EXE3w_btlev25_event25_fade
0x14110F4F0	EXE3w_btlev25_event25_exit
0x1413711C0	EXE3w_btlev26_BattleEvent26Move
0x1413712B0	EXE3w_btlev26_event26_init
0x1413714F0	EXE3w_btlev26_event26_move
0x1413715E0	EXE3w_btlev26_event26_appear
0x141371860	EXE3w_btlev26_event26_set
0x141371CA0	EXE3w_btlev26_event26_fade
0x141371E70	EXE3w_btlev26_event26_exit
0x14113D9B0	EXE3w_btlev27_BattleEvent27Move
0x14113DAA0	EXE3w_btlev27_btlev27_move
0x14113DB90	EXE3w_btlev27_btlev27_pl_erase
0x140C52510	EXE3w_btlev28_BattleEvent28Move
0x140C52600	EXE3w_btlev28_event28_init
0x140C52840	EXE3w_btlev28_event28_move
0x140C52930	EXE3w_btlev28_event28_appear
0x140C52BB0	EXE3w_btlev28_event28_set
0x140C52FF0	EXE3w_btlev28_event28_fade
0x140C531C0	EXE3w_btlev28_event28_exit
0x1413F9990	EXE3w_btlev29_BattleEvent29Move
0x1413F9A80	EXE3w_btlev29_btlev29_move
0x1413F9B70	EXE3w_btlev29_btlev29_pl_erase
0x140F448C0	EXE3w_btlev2a_BattleEvent2aMove
0x140F449B0	EXE3w_btlev2a_btlev2a_move
0x140F44AA0	EXE3w_btlev2a_btlev2a_pl_erase
0x141395720	EXE3w_btlev2b_BattleEvent2bMove
0x141395810	EXE3w_btlev2b_btlev2b_init
0x141395B30	EXE3w_btlev2b_btlev2b_move
0x141395C20	EXE3w_btlev2b_btlev2b_check
0x141395D50	EXE3w_btlev2b_btlev2b_telop
0x141395EF0	EXE3w_btlev2b_btlev2b_pl_erase
0x1413961B0	EXE3w_btlev2b_btlev2b_pl_entry
0x141396340	EXE3w_btlev2b_btlev2b_exit
0x140D8F280	EXE3w_btlev2c_BattleEvent2cMove
0x140D8F370	EXE3w_btlev2c_event2c_init
