0x140B02E60	EXE2j_btlev03_BattleEvent03Move
0x140B02FB0	EXE2j_btlev03_event03_init
0x140B03230	EXE2j_btlev03_event03_move_00
0x140B035E0	EXE2j_btlev03_event03_move_01
0x140B037B0	EXE2j_btlev03_event03_exit
0x1405739B0	EXE2j_btlev04_BattleEvent04Move
0x140573AA0	EXE2j_btlev04_event04_init
0x140573D00	EXE2j_btlev04_event04_move
0x140573DF0	EXE2j_btlev04_event04_telop
0x140574000	EXE2j_btlev04_event04_efc
0x1405741A0	EXE2j_btlev04_event04_fade
0x140574370	EXE2j_btlev04_event04_exit
0x140AE7F30	EXE2j_btlev05_BattleEvent05Move
0x140AE8020	EXE2j_btlev05_event05_init
0x140AE8260	EXE2j_btlev05_event05_move
0x140AE8350	EXE2j_btlev05_event05_appear
0x140AE85D0	EXE2j_btlev05_event05_set
0x140AE8A10	EXE2j_btlev05_event05_fade
0x140AE8BE0	EXE2j_btlev05_event05_exit
0x1406AB800	EXE2j_btlev06_BattleEvent06Move
0x1406AB8F0	EXE2j_btlev06_event06_init
0x1406ABB30	EXE2j_btlev06_event06_move
0x1406ABC20	EXE2j_btlev06_event06_appear
0x1406ABFD0	EXE2j_btlev06_event06_set
0x1406AC250	EXE2j_btlev06_event06_fade
0x1406AC420	EXE2j_btlev06_event06_exit
0x14086DC70	EXE2j_btlev07_BattleEvent07Move
0x14086DD60	EXE2j_btlev07_event07_init
0x14086DFA0	EXE2j_btlev07_event07_move
0x14086E090	EXE2j_btlev07_event07_set
0x14086E390	EXE2j_btlev07_event07_fade
0x14086E560	EXE2j_btlev07_event07_exit
0x1404A00B0	EXE2j_btlev08_BattleEvent08Move
0x1404A01A0	EXE2j_btlev08_event08_init
0x1404A03E0	EXE2j_btlev08_event08_move
0x1404A04D0	EXE2j_btlev08_event08_set
0x1404A07D0	EXE2j_btlev08_event08_fade
0x1404A09A0	EXE2j_btlev08_event08_exit
0x140A71820	EXE2j_btlev09_BattleEvent09Move
0x140A71910	EXE2j_btlev09_event09_init
0x140A71B50	EXE2j_btlev09_event09_move
0x140A71C40	EXE2j_btlev09_event09_set
0x140A71F40	EXE2j_btlev09_event09_fade
0x140A72110	EXE2j_btlev09_event09_exit
0x140AA54C0	EXE2j_btlev0a_BattleEvent0aMove
0x140AA55B0	EXE2j_btlev0a_btlev0a_init
0x140AA57B0	EXE2j_btlev0a_btlev0a_move
0x140AA58A0	EXE2j_btlev0a_btlev0a_check
0x140AA5990	EXE2j_btlev0a_btlev0a_check_00
0x140AA5C80	EXE2j_btlev0a_btlev0a_check_01
0x140AA5E00	EXE2j_btlev0a_btlev0a_check_02
0x140AA6090	EXE2j_btlev0a_btlev0a_telop
0x140AA62C0	EXE2j_btlev0a_btlev0a_pl_erase
0x140AA65A0	EXE2j_btlev0a_btlev0a_hart
0x140AA6870	EXE2j_btlev0a_btlev0a_pl_entry
0x140AA69B0	EXE2j_btlev0a_btlev0a_exit
0x14091AC70	EXE2j_btlev0b_BattleEvent0bMove
0x14091AD60	EXE2j_btlev0b_event0b_init
0x14091AFA0	EXE2j_btlev0b_event0b_move
0x14091B090	EXE2j_btlev0b_event0b_set
0x14091B2E0	EXE2j_btlev0b_event0b_fade
0x14091B4B0	EXE2j_btlev0b_event0b_exit
0x1408DC480	EXE2j_btlev0c_BattleEvent0cMove
0x1408DC570	EXE2j_btlev0c_event0c_init
0x1408DC7B0	EXE2j_btlev0c_event0c_move
0x1408DC8A0	EXE2j_btlev0c_event0c_set
0x1408DCA90	EXE2j_btlev0c_event0c_fade
