0x14134BA30	EXE5c_bs01atk_Bs01AtkDarkEdge
0x141B58920	EXE5c_bs01atk_bs01_dark_edge_00
0x141B58C00	EXE5c_bs01atk_bs01_dark_edge_01
0x14134BED0	EXE5c_bs01atk_bs01_dark_edge_02
0x141B58CD0	EXE5c_bs01atk_bs01_dark_edge_03
0x14134C290	EXE5c_bs01atk_bs01_dark_edge_04
0x141B58F80	EXE5c_bs01atk_bs01_dark_edge_05
0x14134C800	EXE5c_bs01atk_bs01_dark_edge_06
0x14134C9F0	EXE5c_bs01atk_bs01_dark_edge_07
0x141B59300	EXE5c_bs01atk_bs01_dark_edge_08
0x141B59570	EXE5c_bs01atk_bs01_dark_edge_09
0x141B597A0	EXE5c_bs01atk_bs01_dark_edge_blues_shadow_set
0x14134D520	EXE5c_bs01atk_bs01_dark_edge_shift_pos_check
0x141B59BF0	EXE5c_bs01atk__bs01_dark_edge_atari_set
0x14134DBA0	EXE5c_bs01atk_Bs01AtkShield
0x141B5A000	EXE5c_bs01atk_bs01_shield_00
0x14134E260	EXE5c_bs01atk_Bs01AtkShadowSlash
0x141B5A590	EXE5c_bs01atk_bs01_shadow_slash_00
0x141B5A700	EXE5c_bs01atk_bs01_shadow_slash_blues_shadow_set
0x14134E6E0	EXE5c_bs01atk_Bs01AtkShadowSwordShift
0x141B5A920	EXE5c_bs01atk_bs01_shadow_sword_shift_00
0x141B5AD00	EXE5c_bs01atk_bs01_shadow_sword_shift_01
0x14134EEC0	EXE5c_bs01atk_bs01_shadow_sword_shift_02
0x141B5B010	EXE5c_bs01atk_bs01_shadow_sword_shift_03
0x141B5B0F0	EXE5c_bs01atk__bs01_wide_sword_blues_shadow_set
0x141B5B3C0	EXE5c_bs01atk__bs01_fighter_sword_blues_shadow_set
0x14134F700	EXE5c_bs01atk_Bs01ShadowSlashPosCheck
0x14134FE40	EXE5c_bs01atk_Bs01ShadowSwordShiftPosCheck
0x141B0EAC0	EXE5c_bs02act_Bs02ActCheck
0x1412EF970	EXE5c_bs02act_bs02_act_check_00
0x141B0ECD0	EXE5c_bs02act_bs02_act_check_01
0x141B0F2F0	EXE5c_bs02act_bs02_act_check_02
0x141B0F8F0	EXE5c_bs02act_bs02_act_check_03
0x1412F0940	EXE5c_bs02act_Bs02InitProc
0x1412F09C0	EXE5c_bs02act_Bs02StaggerInitProc
0x1412F0A90	EXE5c_bs02act_bs02_shift_wait_check
0x1412F0C40	EXE5c_bs02act_bs02_counter_start_check
0x1412F0CF0	EXE5c_bs02act_bs02_cutter_wait_check
0x1412F0E30	EXE5c_bs02act_bs02_tornado_start_check
0x1412F0EE0	EXE5c_bs02act_bs02_set_str
0x140CC61A0	EXE5c_bs02atk_Bs02AtkShift
0x1415E7B80	EXE5c_bs02atk_bs02_shift_00
0x1415E7E00	EXE5c_bs02atk_bs02_shift_01
0x1415E7FE0	EXE5c_bs02atk_bs02_shift_02
0x140CC6970	EXE5c_bs02atk_Bs02AtkGyroCutter
0x140CC6AC0	EXE5c_bs02atk_bs02_gyro_cutter_00
0x1415E8200	EXE5c_bs02atk_bs02_gyro_cutter_01
0x1415E8460	EXE5c_bs02atk_bs02_gyro_cutter_02
0x140CC7030	EXE5c_bs02atk_bs02_gyro_cutter_03
0x1415E8640	EXE5c_bs02atk_bs02_gyro_cutter_04
0x140CC7630	EXE5c_bs02atk_bs02_gyro_cutter_05
0x140CC7770	EXE5c_bs02atk_bs02_gyro_cutter_06
0x1415E8A80	EXE5c_bs02atk_bs02_gyro_cutter_07
0x140CC7AA0	EXE5c_bs02atk_Bs02AtkTornadoArm
0x140CC7BF0	EXE5c_bs02atk_bs02_tornado_arm_00
0x1415E8C70	EXE5c_bs02atk_bs02_tornado_arm_01
0x1415E8EC0	EXE5c_bs02atk_bs02_tornado_arm_02
0x140CC81D0	EXE5c_bs02atk_bs02_tornado_arm_03
0x1415E90A0	EXE5c_bs02atk_bs02_tornado_arm_04
0x1415E9380	EXE5c_bs02atk_bs02_tornado_arm_05
0x1415E96E0	EXE5c_bs02atk_bs02_tornado_arm_06
0x140CC8BF0	EXE5c_bs02atk_Bs02AtkGyroAirForce
0x140CC8D40	EXE5c_bs02atk_bs02_gyro_airforce_00
0x1415E9900	EXE5c_bs02atk_bs02_gyro_airforce_01
0x1415E9C20	EXE5c_bs02atk_bs02_gyro_airforce_02
0x140CC93F0	EXE5c_bs02atk_bs02_gyro_airforce_03
0x1415E9E00	EXE5c_bs02atk_bs02_gyro_airforce_04
0x1415EA110	EXE5c_bs02atk_bs02_gyro_airforce_05
0x1415EA630	EXE5c_bs02atk_bs02_gyro_airforce_06
0x140CC9FA0	EXE5c_bs02atk_bs02_gyro_airforce_07
0x1415EA7F0	EXE5c_bs02atk_bs02_gyro_airforce_08
0x140CCA360	EXE5c_bs02atk_Bs02AtkGyroCounter
0x140CCA450	EXE5c_bs02atk_bs02_gyro_counter_00
0x1415EA9E0	EXE5c_bs02atk_bs02_gyro_counter_01
0x140CCABE0	EXE5c_bs02atk_bs02_gyro_counter_02
0x1415EADF0	EXE5c_bs02atk_bs02_gyro_counter_03
0x140CCB010	EXE5c_bs02atk_Bs02ShiftPosCheck
0x140CCB3C0	EXE5c_bs02atk_Bs02GyroCutterShiftPosCheck
0x140CCB830	EXE5c_bs02atk_Bs02GyroCutterShiftPosCheck2
0x140CCBF00	EXE5c_bs02atk_Bs02TornadoArmShiftPosCheck
0x1415EB030	EXE5c_bs02atk_bs02_set_shl1b
0x141885A80	EXE5c_bs03act_Bs03ActCheck
0x140FDD980	EXE5c_bs03act_bs03_act_check_00
0x141885C90	EXE5c_bs03act_bs03_act_check_01
0x141886290	EXE5c_bs03act_bs03_act_check_02
0x140FDE4A0	EXE5c_bs03act_bs03_act_check_03
0x141886460	EXE5c_bs03act_bs03_act_check_04
0x140FDE850	EXE5c_bs03act_Bs03InitProc
0x140FDE950	EXE5c_bs03act_Bs03Proc
0x141886550	EXE5c_bs03act_Bs03PalsyInitProc
0x141886580	EXE5c_bs03act_Bs03StaggerInitProc
0x1418865B0	EXE5c_bs03act_Bs03BlowInitProc
0x1418867A0	EXE5c_bs03act_Bs03Out
0x1418868A0	EXE5c_bs03act_bs03_search_grenade_set
0x141886B10	EXE5c_bs03act_bs03_scope_gun_set
0x141886D10	EXE5c_bs03act_bs03_satellite_ray_set
0x140FDF4E0	EXE5c_bs03act_bs03_shift_wait_check
0x140FDF620	EXE5c_bs03act_bs03_search_grenade_wait_check
0x140FDF6D0	EXE5c_bs03act_bs03_scope_gun_wait_check
0x140FDF780	EXE5c_bs03act_bs03_satellite_ray_wait_check
0x140FDF830	EXE5c_bs03act_bs03_set_str
0x140B8F3B0	EXE5c_bs03atk_Bs03AtkShift
0x1414EFD20	EXE5c_bs03atk_bs03_shift_00
0x1414EFFD0	EXE5c_bs03atk_bs03_shift_01
0x1414F01B0	EXE5c_bs03atk_bs03_shift_02
0x140B8FBB0	EXE5c_bs03atk_Bs03AtkKougakuMeisai
0x140B8FD00	EXE5c_bs03atk_bs03_kougaku_meisai_00
0x1414F03D0	EXE5c_bs03atk_bs03_kougaku_meisai_01
0x1414F0620	EXE5c_bs03atk_bs03_kougaku_meisai_02
0x140B902A0	EXE5c_bs03atk_Bs03AtkSearchGrenade
0x140B903F0	EXE5c_bs03atk_bs03_search_grenade_00
0x1414F0860	EXE5c_bs03atk_bs03_search_grenade_01
0x1414F0B30	EXE5c_bs03atk_bs03_search_grenade_02
0x140B909D0	EXE5c_bs03atk_bs03_search_grenade_03
0x1414F0D10	EXE5c_bs03atk_bs03_search_grenade_04
0x140B90E60	EXE5c_bs03atk_bs03_search_grenade_05
0x1414F0F50	EXE5c_bs03atk_bs03_search_grenade_06
0x140B91320	EXE5c_bs03atk_bs03_search_grenade_07
0x1414F12D0	EXE5c_bs03atk_bs03_search_grenade_08
0x140B91730	EXE5c_bs03atk_Bs03AtkScopeGun
0x1414F14A0	EXE5c_bs03atk_bs03_scope_gun_00
0x1414F16E0	EXE5c_bs03atk_bs03_scope_gun_01
0x140B91CA0	EXE5c_bs03atk_bs03_scope_gun_02
0x1414F18C0	EXE5c_bs03atk_bs03_scope_gun_03
0x140B920B0	EXE5c_bs03atk_bs03_scope_gun_04
0x1414F1AE0	EXE5c_bs03atk_bs03_scope_gun_05
0x1414F1EB0	EXE5c_bs03atk_bs03_scope_gun_06
0x1414F2280	EXE5c_bs03atk_bs03_scope_gun_07
0x140B92C20	EXE5c_bs03atk_Bs03AtkSatelliteRay
0x1414F2440	EXE5c_bs03atk_bs03_satellite_ray_00
0x1414F26C0	EXE5c_bs03atk_bs03_satellite_ray_01
0x140B931D0	EXE5c_bs03atk_bs03_satellite_ray_02
0x1414F28A0	EXE5c_bs03atk_bs03_satellite_ray_03
0x140B935E0	EXE5c_bs03atk_bs03_satellite_ray_04
0x1414F2AC0	EXE5c_bs03atk_bs03_satellite_ray_05
0x1414F2E30	EXE5c_bs03atk_bs03_satellite_ray_06
0x1414F31E0	EXE5c_bs03atk_bs03_satellite_ray_07
0x140B940A0	EXE5c_bs03atk_Bs03ShiftPosCheck
