0x20168	EXE3_btlev21_event21_set
0x20170	EXE3_btlev21_event21_fade
0x20178	EXE3_btlev21_event21_exit
0x20180	EXE3_btlev22_BattleEvent22Move
0x20198	EXE3_btlev22_event22_init
0x201a0	EXE3_btlev22_event22_move
0x201c0	EXE3_btlev22_event22_telop
0x201c8	EXE3_btlev22_event22_pl_off
0x201d0	EXE3_btlev22_event22_efc
0x201d8	EXE3_btlev22_event22_pl_on
0x201e0	EXE3_btlev22_event22_fade
0x201e8	EXE3_btlev22_event22_exit
0x201f0	EXE3_btlev23_BattleEvent23Move
0x20208	EXE3_btlev23_event23_init
0x20210	EXE3_btlev23_event23_move
0x20230	EXE3_btlev23_event23_telop
0x20238	EXE3_btlev23_event23_pl_off
0x20240	EXE3_btlev23_event23_efc
0x20248	EXE3_btlev23_event23_pl_on
0x20250	EXE3_btlev23_event23_fade
0x20258	EXE3_btlev23_event23_exit
0x20260	EXE3_btlev24_BattleEvent24Move
0x20278	EXE3_btlev24_event24_init
0x20280	EXE3_btlev24_event24_move
0x20298	EXE3_btlev24_event24_telop
0x202a0	EXE3_btlev24_event24_efc
0x202a8	EXE3_btlev24_event24_fade
0x202b0	EXE3_btlev24_event24_exit
0x202b8	EXE3_btlev24_event24_chip_cnt
0x202c0	EXE3_btlev24_event24_jealousy_set
0x202e0	EXE3_btlev25_BattleEvent25Move
0x202f8	EXE3_btlev25_event25_init
0x20300	EXE3_btlev25_event25_move
0x20318	EXE3_btlev25_event25_telop
0x20320	EXE3_btlev25_event25_efc
0x20328	EXE3_btlev25_event25_fade
0x20330	EXE3_btlev25_event25_exit
0x20338	EXE3_btlev26_BattleEvent26Move
0x20350	EXE3_btlev26_event26_init
0x20358	EXE3_btlev26_event26_move
0x20370	EXE3_btlev26_event26_appear
0x20378	EXE3_btlev26_event26_set
0x20388	EXE3_btlev26_event26_fade
0x20390	EXE3_btlev26_event26_exit
0x20398	EXE3_btlev27_BattleEvent27Move
0x203b0	EXE3_btlev27_btlev27_move
0x203d0	EXE3_btlev27_btlev27_pl_erase
0x203d8	EXE3_btlev28_BattleEvent28Move
0x203f0	EXE3_btlev28_event28_init
0x203f8	EXE3_btlev28_event28_move
0x20410	EXE3_btlev28_event28_appear
0x20418	EXE3_btlev28_event28_set
0x20428	EXE3_btlev28_event28_fade
0x20430	EXE3_btlev28_event28_exit
0x20438	EXE3_btlev29_BattleEvent29Move
0x20450	EXE3_btlev29_btlev29_move
0x20470	EXE3_btlev29_btlev29_pl_erase
0x20478	EXE3_btlev2a_BattleEvent2aMove
0x20490	EXE3_btlev2a_btlev2a_move
0x204b0	EXE3_btlev2a_btlev2a_pl_erase
0x204b8	EXE3_btlev2b_BattleEvent2bMove
0x204d0	EXE3_btlev2b_btlev2b_init
0x204d8	EXE3_btlev2b_btlev2b_move
0x204f8	EXE3_btlev2b_btlev2b_check
0x20500	EXE3_btlev2b_btlev2b_telop
0x20508	EXE3_btlev2b_btlev2b_pl_erase
0x20518	EXE3_btlev2b_btlev2b_pl_entry
0x20520	EXE3_btlev2b_btlev2b_exit
0x20528	EXE3_btlev2c_BattleEvent2cMove
0x20540	EXE3_btlev2c_event2c_init
0x20548	EXE3_btlev2c_event2c_move
0x20560	EXE3_btlev2c_event2c_appear
0x20580	EXE3_btlev2c_event2c_set
0x20588	EXE3_btlev2c_event2c_fade
0x20590	EXE3_btlev2c_event2c_exit
0x20598	EXE3_btlev2d_BattleEvent2dMove
0x205b0	EXE3_btlev2d_event2d_init
0x205b8	EXE3_btlev2d_event2d_move
0x205d0	EXE3_btlev2d_event2d_set
0x205e8	EXE3_btlev2d_event2d_fade
0x205f0	EXE3_btlev2d_event2d_exit
0x205f8	EXE3_btlev2e_BattleEvent2eMove
0x20610	EXE3_btlev2e_event2e_init
0x20618	EXE3_btlev2e_event2e_move
0x20630	EXE3_btlev2e_event2e_appear
0x20658	EXE3_btlev2e_event2e_set
0x20660	EXE3_btlev2e_event2e_fade
0x20668	EXE3_btlev2e_event2e_exit
0x20670	EXE3_btlev2e_next_set_pos
0x20698	EXE3_btlev2f_BattleEvent2fMove
0x206b0	EXE3_btlev2f_btlev2f_init
