0x25710	EXE4_bosscomm_BossCommonPalsy
0x25718	EXE4_bosscomm_BossCommonExit
0x25740	EXE4_bosscomm_BossCommonMoveInit
0x25748	EXE4_bosscomm_BossCommonBlow
0x25760	EXE4_bosscomm_BossCommonBlow_00
0x25768	EXE4_bosscomm_BossCommonBlow_01
0x25770	EXE4_bosscomm_BossCommonBlow_02
0x25778	EXE4_btlev00_BattleEvent00Move
0x25780	EXE4_btlev_sub_BattleEventStatusSet
0x25788	EXE4_btlev_sub_BattleEventStatusGet
0x25790	EXE4_btlev_sub_BattleEventReset
0x25798	EXE4_btlev_sub_BattleEventPrioSet
0x257a0	EXE4_btlev_sub_BattleEventPrioCheck
0x257a8	EXE4_btlev_sub_BattleEventFirstSetCheck
0x257b0	EXE4_btlev_sub_BattleEventInterruptEfcSet
0x257b8	EXE4_btlev_sub_EventChipCommonInit
0x257c0	EXE4_btlev_sub_EventChipCommonFade
0x257c8	EXE4_btlev_sub_EventChipCommonTelop
0x257d0	EXE4_btlev_sub_EventChipNaviTelop
0x257d8	EXE4_btlev_sub_EventChipTrapTelop
0x257e0	EXE4_btlev_sub_EventChipCommonEnd
0x257e8	EXE4_btlev_sub_EventChipCommonExit
0x257f0	EXE4_btlev_sub_EventChipCommonNaviScoot
0x25808	EXE4_btlev_sub_EventChipCommonNaviScoot_00
0x25810	EXE4_btlev_sub_EventChipCommonNaviScoot_01
0x25818	EXE4_btlev_sub_EventChipCommonNaviScoot_02
0x25820	EXE4_btlev_sub_BattleEventInterruptEnableCheck
0x25828	EXE4_btlev_sub_BattleEventEntryFirst
0x25830	EXE4_btlev_sub_BattleEventEntry
0x25838	EXE4_btlev_sub_BattleEventWorkAdrsGet
0x25840	EXE4_btlev_sub_BattleEventWorkInit
0x25848	EXE4_btlhit0_BattleHitInit
0x25850	EXE4_btlhit0_BattleHitOpen
0x25858	EXE4_btlhit0_BattleHitClose
0x25be8	EXE4_btlhit_sub_BattleHitWorkModefy
0x25bf0	EXE4_btlhit_sub_BattleHitStaggerTypeSet
0x25bf8	EXE4_btlhit_sub_BattleHitAttrChange
0x25c00	EXE4_btlhit_sub_BattleHitRegisterHitWorkAdrsBuff
0x25c10	EXE4_btlhit_sub_BattleHitDeleteHitWorkAdrsBuff
0x25c20	EXE4_btlhit_sub_BattleHitRegisterHitWorkAdrsBuffSub
0x25c30	EXE4_btlhit_sub_BattleHitDeleteHitWorkAdrsBuffSub
0x25c40	EXE4_btlhit_sub_BattleHitHitWorkAdrsBuffInit
0x25c50	EXE4_btlhit_sub_BattleHitDataSet
0x25c58	EXE4_btlhit_sub_BattleHitCheck
0x25c68	EXE4_btlhit_sub_BattleHitCheckSub
0x25c78	EXE4_btlhit_sub_BattleHitCheckMain
0x25c80	EXE4_btlhit_sub_BattleHitDamageCheck
0x25c88	EXE4_btlhit_sub_BattleHitWeakRateCheck
0x25cb0	EXE4_btlhit_sub_BattleHitCounterRateCheck
0x25cc8	EXE4_btlhit_sub_BattleHitGroundDamageCalc
0x25cd0	EXE4_btlhit_sub_BattleHitBarrierDamageCheck
0x25cd8	EXE4_btlhit_sub_BattleHitSet
0x25ce0	EXE4_btlhit_sub_BattleHitBlockPosSet
0x25ce8	EXE4_btlhit_sub_BattleHitBlockPosSet2
0x25cf0	EXE4_btlhit_sub_BattleHitOff
